15,901	0,5295	-201,5	NAN	
16,001	0,528	-201,5	NAN	
16,101	0,528	-201,5	NAN	
16,201	0,5295	-201,5	NAN	
16,301	0,5295	-201,5	NAN	
16,401	0,528	-201,5	NAN	
16,501	0,5295	-201,5	NAN	
16,601	0,528	-201,5	NAN	
16,701	0,528	-201,5	NAN	
16,801	0,5265	-201	NAN	
16,901	0,5325	-202	NAN	
17,001	0,555	-207,5	NAN	
17,101	0,597	-220,5	NAN	
17,201	0,6435	-237	NAN	
17,301	0,6885	-254,5	NAN	
17,401	0,7245	-270	NAN	
17,501	0,7635	-287,5	NAN	
17,601	0,783	-299,5	NAN	
17,701	0,7935	-308	NAN	
17,801	0,8085	-315	NAN	
17,901	0,813	-320,5	NAN	
18,001	0,819	-324	NAN	
18,101	0,822	-327	NAN	
18,201	0,8265	-329,5	NAN	
18,301	0,8265	-331	NAN	
18,401	0,828	-333	NAN	
18,501	0,831	-334	NAN	
18,601	0,834	-335	NAN	
18,701	0,834	-336,5	NAN	
18,801	0,837	-337	NAN	
18,901	0,8355	-337,5	NAN	
19,001	0,834	-337,5	NAN	
19,101	0,834	-338	NAN	
19,201	0,8355	-338	NAN	
19,301	0,8355	-338	NAN	
19,401	0,837	-338,5	NAN	
19,501	0,8355	-338	NAN	
19,601	0,8355	-338,5	NAN	
19,701	0,8355	-338,5	NAN	
19,801	0,8355	-338,5	NAN	
19,901	0,8355	-339	NAN	
20,001	0,8355	-339	NAN	
20,101	0,8415	-339	NAN	
20,201	0,8385	-339,5	NAN	
20,301	0,8385	-339,5	NAN	
20,401	0,84	-339,5	NAN	
20,501	0,837	-339	NAN	
20,601	0,8355	-339	NAN	
20,701	0,837	-339,5	NAN	
20,801	0,8385	-339	NAN	
20,901	0,8355	-339,5	NAN	
21,001	0,837	-339,5	NAN	
21,101	0,8355	-339,5	NAN	
21,201	0,8385	-339,5	NAN	
21,301	0,837	-339,5	NAN	
21,401	0,8355	-339,5	NAN	
21,501	0,837	-339,5	NAN	
21,601	0,837	-339,5	NAN	
21,701	0,837	-339,5	NAN	
21,801	0,8385	-340	NAN	
21,901	0,837	-339,5	NAN	
22,001	0,8385	-339,5	NAN	
22,101	0,84	-340	NAN	
22,201	0,84	-340	NAN	
22,301	0,84	-340	NAN	
22,401	0,8415	-340,5	NAN	
22,501	0,8385	-340	NAN	
22,601	0,8355	-340	NAN	
22,701	0,834	-340	NAN	
22,801	0,8355	-340	NAN	
22,901	0,837	-340	NAN	
23,001	0,837	-340	NAN	
23,101	0,837	-340	NAN	
23,201	0,837	-339,5	NAN	
23,301	0,837	-340	NAN	
23,401	0,837	-340,5	NAN	
23,501	0,837	-340	NAN	
23,601	0,8355	-340	NAN	
23,701	0,837	-340	NAN	
23,801	0,8385	-340	NAN	
23,901	0,8385	-340	NAN	
