4.01,0.0401,0.21329175891016544,0.004629453122853814,1.0,0.2,1.0,0.2
6.02,0.0602,0.3636342111652246,0.006287752999608179,1.3,0.2,1.3,0.2
7.05,0.0705,0.4406753682909515,0.007185042687347413,1.9,0.2,1.8,0.2
7.16,0.0716,0.4489030646830194,0.007282067444327038,2.0,0.2,1.8,0.2
7.27,0.0727,0.45713076107508727,0.007379288974628351,2.2,0.2,2.0,0.2
7.42,0.0742,0.46835034706427076,0.007512167095646399,2.4,0.2,2.1,0.2
7.5,0.075,0.47433412625850196,0.007583172842650142,2.6,0.2,2.2,0.2
7.61,0.0761,0.48256182265056996,0.007680955699807488,3.1,0.2,2.4,0.2
7.76,0.0776,0.49378140863975345,0.007814564954505415,3.6,0.2,2.6,0.2
7.85,0.0785,0.5005131602332635,0.00789487360655916,4.5,0.2,2.8,0.2
8.04,0.0804,0.5147246358195626,0.008064749771434681,6.7,0.2,2.9,0.2
8.13,0.08130000000000001,0.5214563874130729,0.008145369975736678,7.4,0.2,3.0,0.2
8.23,0.08230000000000001,0.5289361114058619,0.008235058243570221,7.2,0.2,2.8,0.2
8.42,0.0842,0.543147586992161,0.008405772746211902,4.7,0.2,2.6,0.2
8.55,0.0855,0.5528712281827868,0.00852279877560931,3.9,0.2,2.5,0.2
8.7,0.087,0.5640908141719702,0.00865804138734726,2.9,0.2,2.2,0.2
8.85,0.0885,0.5753104001611538,0.008793501718709783,2.5,0.2,2.0,0.2
9.04,0.0904,0.5895218757474529,0.00896538192563832,2.1,0.2,1.8,0.2
9.47,0.0947,0.6216846889164457,0.009355508808626031,1.5,0.2,1.4,0.2
10.08,0.1008,0.6673110052724586,0.009911340722982494,1.2,0.2,1.1,0.2
10.95,0.1095,0.7323846040097229,0.010708156707415779,0.9,0.2,0.9,0.2
11.94,0.11939999999999999,0.8064338715383342,0.011619567397674379,0.8,0.2,0.8,0.2
